word_us,word_length,n_phon,nonword,n_phon_nw,
ahoy,4,3,ahap,4,
aid,3,2,arb,3,
ail,3,2,aeng,2,
ailment,7,6,ashdent,6,
aim,3,2,aith,2,
air,3,2,aif,2,
aircraft,8,7,ashspair,5,
airlift,7,6,ainlink,6,
airline,7,5,ailtine,5,
airliner,8,7,airluner,7,
airmail,7,5,ainstone,6,
airplane,8,6,ashpline,6,
aisle,5,2,aip,2,
ajar,4,4,ajor,4,
alarm,5,5,alorg,5,
albatross,9,8,albitruss,8,
albino,6,6,albuna,6,
album,5,5,amrum,5,
alcohol,7,7,alcuhil,7,
alcoholic,9,9,alcapolit,9,
alcoholism,10,11,alcojusize,9,
alert,5,5,aterd,5,
algae,5,4,alnoe,4,
algebra,7,7,algobru,7,
algebraic,9,9,almebroid,9,
alias,5,5,avios,5,
alibi,5,5,alobu,5,
alien,5,5,adion,5,
alienable,9,9,aleadably,8,
alienate,8,7,alionake,7,
alienation,10,9,alearative,8,
alike,5,4,ative,4,
alive,5,4,alyme,4,
allege,6,4,allind,5,
allegedly,9,8,allageppy,7,
allegiance,10,7,allopiance,8,
allergic,8,7,allorgim,7,
allergy,7,6,allordy,6,
alley,5,3,attey,3,
alliance,8,6,astianes,7,
allied,6,4,alloon,4,
alligator,9,8,almibator,9,
alliteration,12,10,allitenative,10,
allocate,8,6,allucale,6,
allow,5,3,allim,4,
alloy,5,3,appoy,3,
ally,4,3,asty,4,
almighty,8,6,almoughy,5,
almond,6,6,amfond,6,
alone,5,4,atore,4,
along,5,4,arang,4,
alongside,9,7,alingsade,7,
aloud,5,4,atood,4,
alphabet,8,7,alphobit,7,
alphabetic,10,9,altrufitid,10,
alphabetize,11,9,alphobitase,9,
alpine,6,5,aspone,5,
altar,5,5,adtor,5,
alteration,10,9,alderitive,9,
alternate,9,8,altornale,9,
alternation,11,10,aldermitive,10,
alternative,11,10,alterdation,10,
altitude,8,8,altotade,7,
alto,4,4,amlo,4,
altogether,10,9,almogerner,10,
aluminum,8,8,alucaniop,9,
amateur,7,6,amoteud,7,
amateurish,10,9,amatierine,8,
amateurism,10,11,amacourism,10,
amaze,5,4,alize,4,
amazon,6,6,amozin,6,
ambassador,10,9,ambarrator,9,
amber,5,5,adser,5,
ambidextrous,12,13,ammidestruce,10,
ambiguity,9,11,amniroity,8,
ambiguous,9,9,ambasuous,9,
ambition,8,7,ambotive,7,
ambulance,9,9,ambalince,8,
ambush,6,5,asbyne,5,
amend,5,5,aband,5,
amendment,9,9,amindmint,9,
amends,6,6,abands,6,
American,8,8,Aferimen,8,
americanize,11,10,amerilanize,10,
amiable,7,7,amoaple,7,
ammonia,7,6,ammunic,7,
ammunition,10,9,amturitive,10,
amnesia,7,6,amnosid,7,
amoeba,6,5,amoaga,5,
among,5,4,abung,4,
amount,6,5,aneant,5,
amphibian,9,8,amphobiar,7,
amphitheater,12,10,amphitreaten,11,
ample,5,5,astle,5,
amplification,13,12,amplirization,12,
amplifier,9,9,amplufaer,10,
amplify,7,7,ampludy,7,
amputate,8,8,ampotake,7,
amputation,10,10,ampalative,9,
amputee,7,7,ampotoo,6,
amuse,5,5,anose,4,
anal,4,3,anit,4,
analysis,8,8,anolysin,8,
analyst,7,7,anolast,7,
analytic,8,8,analetim,8,
analyze,7,5,anolaze,6,
anatomy,7,7,amicory,7,
ancestor,8,8,ancispor,8,
ancestral,9,9,ancispral,9,
anchor,6,5,abscar,6,
ancient,7,6,algount,6,
anecdote,8,7,anicdate,7,
anemia,6,6,anumoa,6,
anesthesia,10,8,anisthosin,9,
anesthetist,11,10,anisthotust,10,
anew,4,4,anaw,3,
angel,5,5,arbel,5,
anger,5,5,arver,5,
angle,5,5,artle,5,
angry,5,5,arfry,5,
anguish,7,6,algeare,5,
angular,7,8,angofer,7,
animal,6,6,anomil,6,
animalism,9,10,anirenish,8,
animate,7,6,anomake,6,
animation,9,8,animitive,8,
ankle,5,5,arcle,5,
anklet,6,6,arsket,6,
annex,5,5,armex,6,
annihilate,10,7,annohulake,8,
anniversary,11,10,annisermagy,10,
announce,8,5,alneeves,6,
annoy,5,3,annim,4,
annual,6,6,atruac,6,
anonymous,9,8,amalygous,8,
anonymously,11,10,anonygously,10,
another,7,6,anortar,7,
answer,6,5,arsper,6,
answerable,10,9,antheraber,9,
ant,3,3,ont,3,
antarctic,9,9,antasklic,9,
antelope,8,7,antolape,7,
antenna,7,6,anteppa,6,
anterior,8,8,antodier,7,
anthem,6,5,arskim,6,
anthropology,12,11,anthrocalomy,11,
anti,4,4,arto,4,
antibiotic,10,10,antifiuter,10,
antibody,8,8,anpibony,8,
anticipate,10,9,antimipade,9,
anticipated,11,11,anticimated,11,
anticlimax,10,11,antocrimix,11,
antidote,8,7,antudate,7,
antipersonnel,13,12,anticermennic,12,
antique,7,5,amtaste,6,
antiquity,9,9,antaqoiry,9,
antiseptic,10,10,antosetmic,10,
antisocial,10,9,antosivial,10,
antler,6,6,almner,7,
antonym,7,7,antunom,7,
anus,4,4,apus,4,
anxiety,7,7,aniopy,6,
anxious,7,6,arlgous,6,
anymore,7,6,anomare,6,
anyone,6,6,anyore,6,
anyway,6,5,anyfay,5,
aorta,5,5,aurto,5,
apart,5,5,asave,4,
apartment,9,9,apertmint,9,
apathetic,9,8,apathenim,8,
apathy,6,5,apophy,5,
ape,3,2,ope,2,
apiece,6,4,apouce,4,
apologetic,10,10,apolumetic,10,
apologize,9,8,apilogist,9,
apology,7,7,apilury,7,
apostrophe,10,9,apemtriphe,9,
apparatus,9,8,apranatas,9,
apparel,7,6,apporel,6,
apparent,8,7,appanems,7,
appeal,6,4,asteal,5,
appear,6,4,astear,5,
appearance,10,7,appeatarce,8,
appendage,9,7,appindade,7,
appendicitis,12,11,appenmiciton,11,
appendix,8,8,appindux,8,
appetite,8,6,appotate,6,
appetizer,9,8,apremizer,9,
applaud,7,5,ampleon,7,
applause,8,5,amplempt,8,
apple,5,4,adfle,5,
appliance,9,7,amphiants,8,
applicability,13,12,applicobalory,12,
applicable,10,9,apprinably,9,
applicant,9,8,applocart,8,
application,11,9,apprilative,9,
applicator,10,9,apprilanor,9,
applied,7,5,afflied,5,
apply,5,4,adshy,4,
appoint,7,5,ampique,5,
appointee,9,6,appaintee,6,
appointment,11,9,appaintmint,9,
appraise,8,5,ampruade,7,
appreciable,11,10,appromiably,10,
appreciate,10,8,aptreliase,9,
appreciative,12,10,appreviatine,10,
apprehend,9,8,approhind,8,
apprehensive,12,10,approlernize,9,
apprentice,10,8,approntace,8,
approach,8,5,ambroach,6,
approaching,11,6,appreaching,7,
appropriate,11,9,appreproade,9,
appropriation,13,11,approchiation,10,
approval,8,7,apprival,7,
approve,7,5,alcrove,6,
approximate,11,10,applixigate,10,
approximation,13,12,approxigation,11,
apricot,7,7,aprocut,7,
April,5,5,Aprif,5,
apron,5,5,ascan,5,
apt,3,3,eft,3,
aptitude,8,8,aptotade,7,
aquarium,8,8,aquanion,8,
aquatic,7,7,aquanid,7,
Arab,4,4,Arib,4,
Arabian,7,7,Arobuan,7,
Arabic,6,6,Arofic,6,
arbitrarily,11,11,arbidririly,11,
arbitrary,9,9,armiclary,9,
arbitrate,9,8,arbotrave,8,
arbitrator,10,10,armiplanor,10,
arc,3,3,arl,3,
arcade,6,5,anlade,5,
arch,4,3,orge,3,
archaeology,11,9,archaealomy,9,
archbishop,10,8,archbuship,8,
archduke,8,7,auntnuke,7,
archer,6,5,orchen,5,
archery,7,6,archeny,6,
architect,9,8,archutict,8,
architectural,13,12,architullerly,11,
architecture,12,10,archotempure,9,
archway,7,5,arcelay,5,
arctic,6,6,asklic,6,
area,4,4,areo,4,
arena,5,5,aronu,5,
arguable,8,9,argoaple,8,
argue,5,5,anbue,5,
argument,8,9,argofent,8,
argumentation,13,13,argucenraters,13,
argumentative,13,13,argucengators,14,
arise,5,4,asint,5,
aristocrat,10,10,arosticrab,10,
aristocratic,12,12,aristustatic,12,
arithmetic,10,9,arothmitis,9,
arithmetical,12,11,arithramical,11,
arithmetician,13,11,arithtenician,11,
arm,3,3,aze,2,
armchair,8,6,artchaft,7,
armhole,7,6,artcole,6,
armor,5,5,angour,5,
armory,6,6,arcoury,6,
armpit,6,6,acepot,5,
army,4,4,anly,4,
aroma,5,5,arumo,5,
around,6,5,aroudge,4,
arouse,6,4,aseuse,4,
arrange,7,5,andange,6,
array,5,3,anday,4,
arrest,6,5,algest,6,
arrival,7,6,arrovel,6,
arrogant,8,7,arrugunt,7,
arrow,5,3,antow,4,
arsenal,7,7,arsufal,7,
arson,5,5,ansin,5,
art,3,3,arn,3,
artery,6,6,artomy,6,
artful,6,6,amptul,8,
arthritis,9,8,arthrotus,8,
arthropod,9,8,arthrupid,8,
article,7,7,artople,7,
articulate,10,10,artirumate,9,
articulation,12,12,articonation,11,
artifact,8,8,artofict,8,
artificial,10,9,artomidial,10,
artillery,9,8,artellemy,8,
artist,6,6,antits,6,
artistic,8,8,artustid,8,
artistry,8,8,artostry,8,
ascend,6,5,alvent,6,
ascent,6,5,alrent,6,
asexual,7,8,asenoal,7,
ash,3,2,oish,2,
ashamed,7,5,adromed,6,
ashore,6,4,ashick,4,
ashtray,7,5,airshay,4,
ashy,4,3,alky,4,
Asian,5,4,Asive,4,
aside,5,4,abice,4,
ask,3,3,amb,3,
asleep,6,5,asheem,4,
asparagus,9,9,assoramos,8,
aspect,6,6,adpell,5,
aspiration,10,9,asparimive,9,
aspire,6,6,alpone,5,
aspirin,7,7,asporid,7,
ass,3,2,aff,2,
assassin,8,5,assissit,6,
assault,7,5,alsirth,6,
assemble,8,7,assimple,7,
assembly,8,7,assimply,7,
assert,6,5,affert,5,
assertion,9,7,assentive,7,
assess,6,4,ampess,5,
asset,5,4,ampet,5,
assign,6,4,alsafe,5,
assignment,10,8,assernmint,9,
assimilate,10,8,assinilaze,8,
assist,6,5,ambist,6,
assistant,9,8,assustint,8,
associate,9,7,assicoaze,7,
association,11,9,assomiatons,10,
associative,11,9,assoriators,9,
assort,6,5,alsave,5,
assume,6,4,ampume,6,
assumption,10,8,assimptive,8,
assurance,9,7,assorarce,7,
assure,6,4,amture,6,
assured,7,5,addured,6,
asterisk,8,8,astorise,7,
asthma,6,4,arthla,5,
astonish,8,7,astanise,7,
astound,7,6,appound,5,
astray,6,5,athraw,4,
astrological,12,11,astrofetical,12,
