word_us,word_length,n_phon,nonword,n_phon_nw,
district,8,8,dirtruct,8,
distrust,8,8,dirtrost,8,
disturb,7,7,dirtown,6,
ditch,5,3,dimps,5,
ditto,5,4,diffo,4,
dive,4,3,doove,3,
divers,6,6,dovert,6,
diversify,9,9,divissamy,8,
diversity,9,9,divorsory,9,
divide,6,5,dutade,5,
dividend,8,8,divopend,8,
dividers,8,8,difidens,8,
divine,6,5,duvike,5,
divinity,8,8,divisiny,8,
divisible,9,9,diveribly,9,
division,8,7,divasoon,7,
divorce,7,6,duvorge,6,
dizzy,5,4,diffy,4,
docile,6,5,domine,5,
dock,4,3,donk,4,
doctor,6,6,dacton,6,
doctorate,9,8,doctarase,8,
doctrine,8,7,dactrane,7,
document,8,9,docopent,8,
documentary,11,12,documittocy,11,
documentation,13,13,documintotive,13,
dodge,5,3,donch,4,
dog,3,3,doy,2,
dogged,6,5,dobbed,4,
doghouse,8,6,dosbouse,6,
dogma,5,5,domga,5,
doing,5,4,doict,5,
doings,6,5,doicts,6,
doll,4,3,dods,4,
dollar,6,5,dommar,5,
dolphin,7,6,domfrin,7,
domain,6,5,damail,5,
dome,4,3,jofe,3,
domestic,8,8,dotesmic,8,
domesticate,11,10,domistulate,11,
domesticity,11,11,domestinaly,11,
dominance,9,8,domorance,8,
domination,10,9,dominutive,10,
domineer,8,7,domopeer,7,
dominion,8,8,dopinion,8,
domino,6,6,domoni,6,
donate,6,5,danabe,5,
donation,8,7,donotoon,7,
done,4,3,doke,3,
donkey,6,5,dorkay,5,
donor,5,5,damot,5,
doodle,6,4,deetle,5,
doom,4,3,doob,3,
doomsday,8,6,doosenay,5,
door,4,3,doos,3,
doorknob,8,6,deerknib,6,
dope,4,3,dode,3,
doppelganger,12,10,doppilhanger,10,
dorm,4,4,dirm,4,
dormant,7,7,dermint,7,
dormitory,9,9,dormatily,9,
dosage,6,5,domade,5,
dose,4,3,dois,3,
dot,3,3,doit,3,
double,6,5,doobly,5,
doubleheader,12,10,douberheador,9,
doubly,6,6,doibly,5,
doubt,5,3,dould,4,
douche,6,3,doolth,4,
dough,5,2,daish,3,
dove,4,3,dosh,3,
down,4,3,dord,4,
downbeat,8,6,darkbate,7,
downcast,8,7,domecate,6,
downstage,9,7,domestame,7,
downtown,8,6,dometogs,7,
downwind,8,7,dornmind,8,
doze,4,3,doft,4,
dozen,5,5,doyim,4,
draft,5,5,draze,4,
draftee,7,6,drampee,6,
drag,4,4,drog,4,
dragon,6,6,drayon,6,
drain,5,4,drate,4,
drama,5,5,drumo,5,
dramatic,8,8,dranatin,8,
dramatist,9,9,dramolist,9,
dramatization,13,12,dramatanative,12,
dramatize,9,8,dramolize,8,
drank,5,5,drash,4,
drape,5,4,droip,4,
drapes,6,5,dropes,5,
drastic,7,7,drustib,7,
draw,4,3,drar,4,
drawer,6,4,drewen,6,
drawn,5,4,drace,4,
drawstring,10,8,drowspring,8,
dread,5,4,drath,4,
dream,5,4,droom,4,
dreamed,7,5,droimed,5,
dreamer,7,6,droimer,6,
dreaming,8,6,drooking,6,
dreamt,6,5,dreaut,5,
dreary,6,5,dready,6,
drench,6,5,drinch,5,
dress,5,4,driss,4,
dresser,7,6,drosser,6,
drew,4,3,drer,4,
dribble,7,6,dripple,6,
drift,5,5,druft,5,
drill,5,4,drell,4,
drink,5,5,drine,4,
drip,4,4,drid,4,
drive,5,4,drint,5,
driven,6,6,druden,5,
driver,6,6,druder,6,
driveway,8,6,druneway,6,
driving,7,6,droding,6,
drizzle,7,6,driffle,6,
drone,5,4,dronk,5,
drool,5,4,droil,4,
droop,5,4,droon,4,
drop,4,4,drof,4,
dropkick,8,7,drapkink,8,
drove,5,4,drost,5,
drown,5,4,drold,5,
drowsy,6,5,drewsy,5,
drug,4,4,droog,4,
drum,4,4,droim,4,
drumbeat,8,7,drambean,7,
drumstick,9,8,dramstock,8,
drunk,5,5,drung,4,
dry,3,3,dro,3,
dryer,5,5,draen,5,
dual,4,5,duan,5,
duality,7,8,duaminy,7,
dub,3,3,doib,3,
duchess,7,5,durtess,6,
duck,4,3,diebs,5,
dude,4,3,dure,4,
duet,4,5,dyen,4,
dug,3,3,doodge,3,
dugout,6,5,dogoul,5,
duke,4,4,dute,4,
dull,4,3,dunt,4,
dumb,4,3,zumb,3,
dumbbell,8,6,drumblee,7,
dumbfound,9,7,dambfouse,6,
dummy,5,4,dommy,4,
dump,4,4,duth,3,
dumps,5,5,dumes,5,
dumpy,5,5,dompy,5,
dunebuggy,9,8,dunebiggo,8,
dung,4,3,doyng,3,
dungeon,7,6,donglon,7,
dunk,4,4,durs,4,
duo,3,4,fuo,3,
dupe,4,4,doip,3,
duplicate,9,9,duplocase,8,
duplication,11,11,duplocitive,11,
duplicator,10,11,duprecinor,11,
durability,10,11,durabalory,11,
durable,7,8,dupagra,8,
duration,8,8,durotoon,8,
during,6,6,dering,5,
dusk,4,4,dulf,4,
dust,4,4,dest,4,
dutch,5,3,doitch,3,
duty,4,5,davy,4,
dwarf,5,5,dwarp,5,
dwell,5,4,dwall,4,
dwelled,7,5,dwegged,5,
dwindle,7,6,dwangle,7,
dynamic,7,7,dynumid,8,
dynamite,8,7,dynomate,7,
dynamo,6,6,dycadi,6,
dynasty,7,7,dynispy,7,
each,4,2,eaks,3,
eager,5,4,euber,5,
eagle,5,4,eutle,5,
ear,3,2,eak,2,
earlier,7,6,eartior,6,
earliest,8,7,eartiert,6,
earlobe,7,5,easrope,5,
early,5,4,einly,4,
earmuffs,8,6,earmiffs,6,
earn,4,3,zoong,3,
earnest,7,6,earmest,6,
earnings,8,6,earmints,7,
earphone,8,5,earphane,5,
earring,7,5,earrong,4,
earth,5,3,eague,2,
earthen,7,5,eighten,4,
earthquake,10,7,eavesdrake,7,
earthworm,9,7,eaveswork,7,
earthy,6,4,earchy,4,
ease,4,2,oise,2,
east,4,3,eash,2,
Easter,6,5,Eistan,5,
eastern,7,6,eatherd,5,
easy,4,3,easo,3,
easygoing,9,7,easynoics,8,
eat,3,2,utt,2,
eaten,5,4,eatan,4,
eccentric,9,9,ecconpric,9,
eccentricity,12,12,eccentracipy,11,
echo,4,3,ecto,4,
eclipse,7,6,eclerce,6,
ecologist,9,9,ecalogize,8,
ecology,7,7,eciropy,7,
economic,8,8,ecanimid,8,
economist,9,9,ecalonist,9,
economize,9,8,ecenorics,9,
economy,7,7,ecarody,7,
ecstasy,7,7,ecstony,7,
edge,4,2,ench,3,
edible,6,6,edople,6,
edit,4,4,egin,4,
edition,7,6,ecitoed,6,
editorial,9,9,editudial,9,
educate,7,6,etudant,8,
education,9,8,edurative,9,
eel,3,2,eep,2,
eerie,5,3,edrid,5,
effect,6,5,eppect,5,
effective,9,7,effestave,7,
egg,3,2,aug,2,
eggplant,8,7,ergplint,8,
ego,3,3,egu,3,
egoistic,8,8,egaistal,8,
egotism,7,8,enolasm,8,
egotistic,9,9,ebodistal,9,
Egyptian,8,7,Egaplian,8,
eighteen,8,4,eartheen,5,
eighth,6,3,oighth,3,
eighty,6,3,ealthy,4,
ejaculate,9,9,efacunate,9,
eject,5,5,ejict,5,
elaborate,9,8,etabomate,8,
elapse,6,5,elarse,5,
elastic,7,7,elostin,7,
elate,5,4,elake,4,
elbow,5,4,enbew,5,
elder,5,5,elrer,5,
elderly,7,7,eldormy,7,
eldest,6,6,elpate,5,
elect,5,5,emect,5,
election,8,7,emection,7,
electioneer,11,9,elartiveial,9,
elective,8,7,emectave,7,
electric,8,8,emectric,8,
electrician,11,10,elartrocive,10,
electricity,11,11,electracopy,11,
electrify,9,9,elestroly,9,
electrocute,11,11,elesdrocate,10,
electrode,9,8,emectrade,8,
electromagnet,13,13,electramogner,13,
electron,8,8,emectrin,8,
electronic,10,10,elestrinal,10,
elegance,8,7,elopance,7,
element,7,7,elomint,7,
elementary,10,10,elemilnady,10,
elephant,8,7,elophint,7,
elevate,7,6,elepate,6,
elevation,9,8,elemative,8,
elevator,8,8,elevinor,8,
eleven,6,6,etaken,6,
elf,3,3,erb,3,
eligibility,11,11,eligobalory,11,
eligible,8,8,eligobly,8,
eliminate,9,8,esimicate,8,
elite,5,4,elote,4,
elk,3,3,zelk,4,
ellipse,7,5,erripse,5,
elongate,8,7,elungaze,7,
elope,5,4,elome,4,
eloquent,8,8,eliquint,8,
else,4,3,elsh,3,
elusive,7,6,ecudize,6,
emancipate,10,9,emercudate,10,
emancipation,12,11,emancupotive,12,
embankment,10,10,embunkmint,10,
embargo,7,7,emburmo,7,
embark,6,6,edbork,6,
embarrass,9,7,embaffass,7,
embassy,7,6,embindy,7,
embellish,9,7,embeggish,7,
embezzle,8,7,emmeggle,6,
emblem,6,6,edblum,6,
embody,6,6,emromy,6,
embroider,9,8,emdroiner,8,
embryo,6,6,emfryu,6,
emerald,7,7,emoraid,6,
emerge,6,5,emarge,5,
emergency,9,9,edergarty,9,
emerging,8,7,emargang,7,
emigrate,8,7,emograle,7,
emigration,10,9,emidrative,9,
eminence,8,7,emodence,7,
emit,4,4,emut,4,
emotion,7,6,ematoon,6,
emperor,7,7,emferor,7,
emphasis,8,7,emphomis,7,
empire,6,6,enfure,6,
employ,6,5,enplot,6,
employee,8,6,empreyia,7,
employer,8,7,emprixia,9,
employment,10,9,emfloymint,9,
empty,5,5,elfry,5,
emu,3,4,ebu,3,
enable,6,6,enabro,6,
enamel,6,6,enomen,6,
enchilada,9,8,enchodala,8,
encircle,8,8,encimtle,8,
enclose,7,6,emgrote,6,
encompass,9,8,encampess,8,
encore,6,5,emcure,6,
encounter,9,8,encourten,8,
encourage,9,7,encoatade,7,
encyclopedia,12,12,encyclopadio,12,
end,3,3,elt,3,
endanger,8,8,endingel,8,
endeavor,8,7,enbeaver,7,
endless,7,6,elftess,6,
endmost,7,7,elfmist,7,
endorse,7,6,emdolce,6,
enemy,5,5,enony,5,
energetic,9,9,enerbetim,9,
energize,8,7,enorgaze,7,
engine,6,5,emgane,5,
engineer,8,7,engoreen,7,
English,7,6,erttish,5,
engross,7,6,emgloss,6,
enhance,7,6,emhence,6,
enigma,6,6,enagmo,6,
enjoy,5,4,emjay,4,
enrage,6,5,emrabe,5,
ensemble,8,8,enbemsle,8,
ensign,6,5,emsait,5,
enslave,7,6,emslive,6,
ensuing,7,6,enbuing,7,
ensure,6,5,emsore,5,
enter,5,5,emtor,5,
enterprise,10,9,enpertrise,8,
entertain,9,8,enpermain,7,
enthusiasm,10,11,enthoriasm,10,
entity,6,6,enbiny,6,
entrance,8,7,emtrince,7,
entrap,6,6,emtrop,6,
entree,6,5,empree,5,
entrepreneur,12,11,enterprucial,11,
entrust,7,7,emprust,7,
entry,5,5,empro,5,
enunciate,9,8,enerdiase,8,
envelop,7,7,enmelon,7,
envelope,8,7,enmelape,7,
envious,7,6,enpioos,6,
environment,11,11,enbirustent,11,
envy,4,4,edny,4,
enzyme,6,5,edzyne,5,
epic,4,4,edip,4,
epidemic,8,8,epitemid,8,
epilepsy,8,8,epilindy,8,
epileptic,9,9,epilistor,9,
epilogue,8,6,epilives,7,
episode,7,6,episade,6,
epitome,7,7,emitomo,7,
equal,5,5,edual,6,
equality,8,8,equaniry,8,
equalization,12,11,equalomarion,12,
equalize,8,7,equilaze,7,
equalizer,9,9,equilazen,9,
equally,7,6,equarry,6,
equate,6,5,equite,5,
equation,8,7,eguative,7,
equator,7,7,eguaton,7,
equip,5,5,equif,5,
equipment,9,9,equilrent,9,
equitable,9,9,equinably,9,
equity,6,6,eqoiry,6,
equivalent,10,10,equanalist,10,
era,3,3,ero,3,
erase,5,4,erise,4,
eraser,6,6,eroger,6,
erect,5,5,erest,5,
erode,5,4,eride,4,
erotic,6,6,enotin,6,
errand,6,5,elland,5,
erratic,7,6,errotin,6,
erroneous,9,7,erripeous,7,
error,5,4,ellor,4,
erupt,5,5,eript,5,
escalator,9,9,escilotar,8,
escapade,8,7,escopale,7,
escape,6,5,ertape,5,
escapee,7,6,escopee,6,
escort,6,6,edsort,6,
Eskimo,6,6,Eskomi,6,
esophagus,9,7,oesignamos,9,
espresso,8,7,esprissa,7,
esprit,6,5,eprint,6,
essay,5,3,edday,3,
essence,7,5,effence,5,
essential,9,7,essuntian,8,
establish,9,8,estiblush,8,
estate,6,5,eplate,5,
esteem,6,5,epleem,5,
estimate,8,7,esmitate,7,
estimation,10,9,esmidative,9,
etch,4,2,ertz,4,
eternal,7,7,enertal,7,
eternity,8,8,etrinady,8,
ethic,5,4,elfib,5,
ethical,7,6,ethomal,6,
Ethiopian,9,8,ethioriat,8,
ethnic,6,5,elfmic,6,
ethyl,5,4,encal,5,
eulogy,6,6,eugoly,6,
euphemism,9,9,euplemize,8,
euphoria,8,7,euphumia,7,
European,8,8,Euporean,7,
evacuate,8,9,evicuade,8,
evade,5,4,evode,4,
evaluate,8,9,emaluant,9,
evangelical,11,11,evangolaral,11,
evangelism,10,11,evingorism,11,
evangelist,10,10,evolgamist,10,
evaporate,9,8,evacomate,8,
evasion,7,6,evolion,7,
eve,3,2,jeve,3,
even,4,4,egen,4,
evening,7,5,eyeping,4,
event,5,5,evint,5,
eventual,8,8,evintoal,8,
eventually,10,9,evinpuanny,9,
everlasting,11,10,everlistics,11,
every,5,4,elery,5,
everybody,9,8,evemycody,8,
everyday,8,6,evelymay,6,
evict,5,5,evart,5,
evidence,8,7,evodance,7,
evident,7,7,evobent,7,
evil,4,4,evaul,4,
evoke,5,4,evale,4,
evolution,9,8,evolative,8,
ewe,3,2,zew,3,
exact,5,6,emace,4,
exaggerate,10,9,exanberaze,10,
exalt,5,6,emaid,4,
exaltation,10,10,exetlative,10,
exam,4,5,eman,4,
examine,7,7,eximane,7,
example,7,8,exastle,8,
exasperate,10,10,exanporase,10,
excavate,8,8,excovale,8,
excavation,10,10,excubative,10,
exceed,6,5,esmeed,5,
excel,5,5,elfal,5,
excellence,10,8,exceffence,8,
exception,9,8,excoptive,9,
excerpt,7,7,elcurps,7,
excess,6,5,elciss,5,
excessive,9,7,excerrive,7,
exchange,8,7,elcharge,6,
excite,6,5,elcibe,5,
excitement,10,9,excatemint,10,
exclaim,7,7,elclait,6,
exclamation,11,11,excomdative,11,
exclamatory,11,12,exclamoloty,12,
exclude,7,7,elcrude,6,
exclusive,9,9,exclosave,9,
excommunicate,13,13,excomminocale,12,
excrete,7,7,elcrate,6,
excruciating,12,12,excrucoaling,12,
excuse,6,7,elcase,5,
execute,7,8,exocate,7,
execution,9,10,execative,9,
executive,9,10,exetulive,9,
executor,8,10,exetunor,10,
exempt,6,7,emente,5,
exercise,8,8,exorcase,8,
exert,5,6,emept,5,
exhalation,10,10,expalotive,10,
exhale,6,6,elhave,5,
exhaust,7,6,elhawks,6,
exhaustion,10,8,exhaispion,10,
exhibit,7,7,exhobin,7,
exhibition,10,9,expihitive,10,
exhibitionism,13,13,exhiborionasm,14,
exhibitor,9,9,exhisinor,9,
exhilarate,10,9,exfilamate,10,
exile,5,5,exoid,5,
exist,5,6,elins,5,
existence,9,9,exosterce,9,
exit,4,5,enid,4,
exotic,6,7,exorid,7,
expand,6,7,elrand,6,
expect,6,7,elpert,6,
expectation,11,11,expostutive,12,
expedite,8,8,expodate,8,
expedition,10,10,expanitive,10,
expel,5,6,esdel,5,
experience,10,10,expotierce,9,
experiment,10,11,exmeridant,11,
expert,6,7,elpegs,6,
expertise,9,9,exportase,9,
expiration,10,10,exticative,10,
expire,6,7,elpick,5,
explain,7,7,elprain,6,
explanation,11,11,explirative,11,
explanatory,11,12,explanomory,12,
explicit,8,9,explucin,9,
explode,7,7,elplade,6,
exploit,7,7,elplait,6,
exploitation,12,11,explantotive,12,
exploration,11,11,explezalive,11,
explore,7,7,elplare,6,
explorer,8,9,expleren,9,
explosion,9,9,explurion,10,
exponent,8,9,expunint,9,
exponential,11,11,extonindial,12,
export,6,7,elpart,6,
exportation,11,11,expoltutive,11,
exporter,8,9,exmorter,9,
expose,6,6,elpore,5,
exposition,10,10,expaditive,10,
exposure,8,8,exsopure,7,
express,7,7,elprass,6,
expression,10,9,exprellion,10,
expressway,10,9,exprissmay,9,
expulsion,9,9,exmulrion,10,
exquisite,9,9,exqoisate,8,
extend,6,7,eltind,6,
extent,6,7,eltint,6,
extenuate,9,11,expenuant,11,
exterior,8,9,extolier,8,
exterminate,11,11,extelmadate,11,
external,8,8,extormal,9,
extinct,7,8,eltique,5,
extinction,10,10,extunctive,10,
extinguish,10,10,extongaise,9,
extra,5,6,espla,5,
extract,7,8,eltrict,7,
extracurricular,15,16,extracorrinomar,15,
extradite,9,9,extrodate,9,
extraordinarily,15,14,extraordomarony,16,
extraordinary,13,13,extraorfimary,14,
extrasensory,12,13,extrasinlopy,13,
extravagant,11,12,expregadant,12,
extravaganza,12,13,extravoginma,13,
extreme,7,7,eltrame,6,
extricate,9,9,extrocale,9,
exuberant,9,10,exugerast,10,
eye,3,1,ine,2,
eyestrain,9,6,euestrave,7,
fable,5,5,fomle,5,
fabric,6,6,farbic,6,
fabrication,11,10,fabrolative,10,
fabulous,8,8,fabolace,7,
face,4,3,foose,3,
facedown,8,6,fanedorm,7,
facial,6,5,fodial,6,
facing,6,5,faming,5,
fact,4,4,farf,4,
factor,6,6,fartom,6,
factual,7,7,factias,7,
faculty,7,7,facilmy,7,
fade,4,3,fide,3,
fag,3,3,fidge,3,
faggot,6,5,fallot,5,
Fahrenheit,10,8,Fahronhait,8,
fail,4,3,faidge,3,
failure,7,6,fainurd,6,
faint,5,4,falve,4,
fair,4,3,falm,4,
fairy,5,4,faidy,4,
faith,5,3,feich,3,
fake,4,3,fike,3,
falcon,6,6,faslon,6,
fall,4,3,zall,3,
fallacy,7,6,falloty,6,
fallen,6,5,fillen,5,
fallible,8,7,fallople,7,
fallout,7,5,filloat,5,
false,5,4,faish,3,
falsehood,9,7,faithlood,6,
falsification,13,12,falsiforalion,13,
falsify,7,7,falsopy,7,
falsity,7,7,falsory,7,
fame,4,3,flum,4,
famed,5,4,foomed,4,
familiar,8,8,famalian,8,
familiarity,11,11,familoanury,11,
familiarize,11,10,famaleerive,9,
family,6,6,famory,6,
famine,6,5,fomise,5,
famish,6,5,fimise,5,
famous,6,5,folous,5,
fan,3,3,foosh,3,
fanatic,7,7,fanitid,7,
fancier,7,7,fanpier,6,
fancy,5,5,findy,5,
fanfare,7,6,farfane,6,
fang,4,3,fing,3,
fantastic,9,9,fantistac,9,
fantasy,7,7,fantory,7,
far,3,3,fak,3,
farewell,8,6,fantwert,8,
farfetched,10,6,furfitched,6,
farm,4,4,fage,3,
farmhand,8,8,farehack,6,
farmland,8,8,farelack,6,
farsighted,10,8,farsauthed,8,
fascinate,9,7,fasconale,7,
fascination,11,9,fasconitive,9,
fashion,7,5,fusheen,6,
fashionable,11,9,fashoonomle,9,
fast,4,4,fash,3,
fasten,6,5,fantin,6,
fastener,8,7,fastiner,8,
fastening,9,7,fastonive,8,
fastness,8,7,fostless,7,
fat,3,3,zup,3,
fatal,5,4,futar,5,
fatality,8,8,fatanidy,8,
fate,4,3,fant,4,
fated,5,5,foten,5,
fateful,7,6,futefil,7,
father,6,5,fithor,5,
fathom,6,5,fithoy,4,
fatigue,7,5,futique,5,
fatten,6,4,fappen,5,
fatty,5,4,fazzy,4,
faucet,6,5,farcer,6,
fault,5,4,fong,3,
favor,5,5,fuvid,5,
favorable,9,9,faparably,9,
fawn,4,3,farl,4,
fear,4,3,famb,3,
feasibility,11,10,feasibolamy,10,
feasible,8,7,feasomle,7,
feasibly,8,7,feasomly,7,
feast,5,4,foast,4,
feat,4,3,fooge,3,
feather,7,5,foather,5,
feature,7,5,foatore,5,
February,8,8,febroaty,8,
federal,7,7,fedogan,7,
federalism,10,11,fedinalism,10,
federalize,10,9,fedelatics,10,
federation,10,9,fedelative,9,
fee,3,2,jee,2,
feeble,6,5,foudle,5,
feed,4,3,feem,3,
feedback,8,6,feelband,7,
feel,4,3,feek,3,
feeling,7,5,feasing,5,
fell,4,3,voose,3,
fellow,6,4,femmow,4,
fellowship,10,7,fellawshop,7,
felon,5,5,feron,5,
felony,6,6,felimy,6,
felt,4,4,ferk,3,
female,6,5,famane,5,
feminine,8,7,femonane,7,
femininity,10,10,feminariny,10,
feminism,8,9,feminics,8,
fence,5,4,ferts,5,
fend,4,4,fench,4,
ferment,7,7,fespent,7,
fermentation,12,11,fermontutive,12,
fern,4,4,foon,3,
ferocious,9,7,ferupious,8,
fertile,7,5,festale,6,
fertility,9,9,fertaliny,9,
fertilization,13,11,fertilomarion,13,
fertilizer,10,9,fertanizer,10,
festival,8,8,festomal,8,
festivity,9,9,festemily,9,
fetch,5,3,femps,5,
fetus,5,5,fatis,5,
feud,4,4,feuth,4,
feudal,6,5,foyzal,5,
fever,5,5,famer,5,
few,3,3,foit,3,
fiance,6,6,fienco,6,
fiasco,6,6,fiosca,6,
fickle,6,5,fackly,5,
fiction,7,6,firtoon,6,
fictional,9,8,ficbional,9,
fictitious,10,8,fictopious,9,
fiddle,6,4,fimmle,5,
fidelity,8,8,fidaniry,8,
fidget,6,5,fudgen,5,
field,5,4,fiege,4,
fiend,5,4,fieve,3,
fierce,6,4,fieved,5,
fiesta,6,6,fiosti,6,
fifteen,7,6,faftoon,6,
fifth,5,4,filst,5,
fifty,5,5,foofty,5,
fight,5,3,fieds,5,
figment,7,7,fildent,7,
figurative,10,10,figoratics,10,
figure,6,6,fibute,6,
figurine,8,8,figumane,7,
filament,8,8,filorent,8,
file,4,3,faig,3,
filet,5,4,fulet,5,
filial,6,6,filoat,5,
filing,6,5,fiming,5,
Filipino,8,8,filipaco,8,
fill,4,3,fick,3,
filling,7,5,folling,5,
film,4,4,fulm,4,
filter,6,6,folten,6,
filth,5,4,finth,4,
filtration,10,9,filtrorion,10,
fin,3,3,fim,3,
final,5,4,funar,5,
finale,6,6,finela,7,
finalist,8,8,fimalion,8,
finality,8,8,fimalidy,8,
finally,7,6,fimarry,6,
finance,7,6,funarce,6,
financial,9,8,finincian,9,
finch,5,4,funch,4,
find,4,4,fonch,4,
finding,7,6,fanging,6,
fine,4,3,zime,3,
finesse,7,5,funelle,5,
finger,6,6,fanker,6,
fingering,9,8,fintering,8,
fingernail,10,9,fintermail,9,
finicky,7,6,finucky,6,
finish,6,5,fanise,5,
finite,6,5,funate,5,
fir,3,3,ferng,4,
fire,4,4,fosh,3,
firecracker,11,10,firecricken,10,
fireman,7,7,finemin,6,
firm,4,4,fisk,4,
first,5,5,firps,5,
firstborn,9,9,firthbern,8,
fiscal,6,6,faspal,6,
fish,4,3,fimp,4,
fisherman,9,8,fishornen,8,
fishhook,8,6,finemook,6,
fission,7,5,fussive,5,
fist,4,4,foost,4,
fit,3,3,fip,3,
five,4,3,fove,3,
fix,3,4,fiv,3,
fixation,8,8,fixotive,8,
fixed,5,5,filks,5,
fixture,7,7,fitsure,5,
fizz,4,3,fazz,3,
fizzle,6,5,fuggle,5,
flabbergast,11,10,flabborgist,10,
flabby,6,5,flarry,5,
flag,4,4,flig,4,
flagpole,8,7,flapgole,7,
flagship,8,7,flapshop,7,
flair,5,4,flarp,5,
flake,5,4,floik,4,
flamboyant,10,10,flambuyane,9,
flame,5,4,flamp,5,
flamethrower,12,9,flamethrewen,9,
flamingo,8,8,flamunga,8,
flammable,9,8,flammuple,8,
flap,4,4,floip,4,
flash,5,4,fland,5,
flashback,9,7,flandbick,8,
flask,5,5,flawl,4,
flat,4,4,flot,4,
flats,5,5,fluts,5,
flatten,7,5,flabben,6,
flaunt,6,5,flaint,5,
flavor,6,6,flumor,6,
flavoring,9,8,flavoning,8,
flaw,4,3,flas,4,
flea,4,3,fleo,4,
fled,4,4,floid,4,
fleet,5,4,fleeg,4,
flesh,5,4,floosh,4,
flew,4,3,flen,4,
flex,4,5,flauks,5,
flexibility,11,12,flexibolamy,12,
flexible,8,9,flexople,9,
flick,5,4,flids,5,
flicker,7,6,flocken,6,
flier,5,5,froer,5,
flight,6,4,floif,4,
flimsy,6,6,flumry,6,
flinch,6,5,flunch,5,
fling,5,4,flive,4,
flint,5,5,flunt,5,
flip,4,4,flin,4,
flipper,7,6,flibber,6,
flirt,5,5,flith,4,
flirtation,10,9,flirtotive,9,
float,5,4,floap,4,
flock,5,4,fluck,4,
flood,5,4,floud,4,
floor,5,4,floom,4,
floozy,6,5,fleezo,5,
flop,4,4,flodge,4,
florist,7,7,flurise,6,
floss,5,4,flole,4,
flour,5,5,floung,4,
flourish,8,6,floonish,6,
flower,6,5,flumer,6,
flown,5,4,fline,4,
fluctuate,9,9,fluctoase,8,
fluctuation,11,11,fluctiative,10,
fluent,6,6,fluert,5,
fluff,5,4,fluce,4,
fluid,5,5,fluin,5,
fluke,5,4,flike,4,
flunk,5,5,flonk,5,
fluorescence,12,10,fluoriscerce,9,
flurry,6,5,fluppy,5,
flush,5,4,flugs,5,
fluster,7,7,frested,7,
flute,5,4,flude,4,
flutist,7,7,flatust,7,
flutter,7,6,fludder,6,
fly,3,3,flur,4,
flycatcher,10,8,flybatcher,8,
foam,4,3,foom,3,
focus,5,5,facas,5,
foe,3,2,fai,2,
fog,3,3,foog,3,
fold,4,4,jold,4,
foliage,7,6,fomiade,6,
folk,4,3,felve,4,
follow,6,4,fonnow,4,
following,9,6,follawing,5,
fond,4,4,foond,4,
fondue,6,6,fundur,6,
font,4,4,foont,4,
food,4,3,jood,3,
fool,4,3,zoof,3,
foolproof,9,7,foulproot,7,
foot,4,3,foop,3,
footage,7,5,foolade,5,
football,8,6,foolbill,6,
footing,7,5,fooring,5,
forbid,6,6,furbin,6,
force,5,4,foits,4,
forceps,7,7,furcips,7,
ford,4,4,foin,3,
forearm,7,6,farearn,5,
forecast,8,7,farecase,6,
forefather,10,8,forefithor,8,
forego,6,4,farega,5,
foreground,10,8,faregrind,8,
forehead,8,6,farebead,6,
foreign,7,5,furaind,6,
foreman,7,6,furemin,7,
foresee,7,5,faresen,6,
foresight,9,6,fossmight,6,
forest,6,6,fipest,6,
forestry,8,8,foristro,8,
foretell,8,6,forttegs,7,
forever,7,7,foroven,7,
forewarn,8,7,farewarm,7,
forfeit,7,6,fonkeet,6,
forge,5,4,fobes,4,
forget,6,6,fonbet,6,
forging,7,6,fimbing,6,
forgive,7,6,fondike,6,
fork,4,4,furk,4,
forked,6,5,foined,4,
forklift,8,8,fornlirt,8,
form,4,4,forb,4,
formal,6,6,furlan,6,
formality,9,9,forpaliry,9,
formalize,9,8,fornalaze,8,
format,6,6,fonmit,6,
formation,9,8,fornalion,9,
formative,9,8,formotave,8,
former,6,6,furmar,6,
formfitting,11,9,formfipping,9,
formidable,10,10,formudibly,11,
formless,8,7,firmtess,7,
formula,7,8,formolu,7,
formulation,11,11,forputative,11,
fort,4,4,fert,4,
forth,5,4,forps,5,
forthcoming,11,9,forthcaming,9,
fortification,13,12,fortiforalion,13,
fortress,8,7,furtross,7,
fortunate,9,8,fortonale,8,
fortune,7,6,fontane,6,
forty,5,5,furty,5,
forum,5,5,furim,5,
forward,7,7,fonwarp,7,
fossil,6,5,foddil,5,
foster,6,6,fopler,6,
fought,6,3,founce,4,
foul,4,3,fouf,3,
foulmouthed,11,7,foolmoothed,7,
found,5,4,fouse,3,
foundation,10,8,foundotive,8,
founder,7,6,founter,6,
fountain,8,6,feentail,6,
four,4,3,fyth,3,
fourteen,8,6,feertoon,6,
fox,3,4,fooks,4,
fraction,8,7,frictive,7,
fracture,8,7,flactute,8,
fragile,7,6,frenile,6,
fragility,9,9,frasinidy,9,
fragment,8,8,fresmint,8,
fragrant,8,8,frogrand,8,
frail,5,5,froil,4,
frailty,7,7,freckty,6,
frame,5,4,froom,4,
franchise,9,7,frinchase,7,
frantic,7,7,frindic,7,
fraternization,14,13,fraternomarion,13,
fraternize,10,9,fratarnaze,9,
fraud,5,4,fraul,4,
